,date,holiday
1,2015-01-01,New Year's Day
144,2015-05-25,Memorial Day
184,2015-07-04,Independence Day
249,2015-09-07,Labor Day
315,2015-11-11,Veterans Day
330,2015-11-26,Thanksgiving
359,2015-12-25,Christmas Day
366,2016-01-01,New Year's Day
515,2016-05-30,Memorial Day
550,2016-07-04,Independence Day
613,2016-09-05,Labor Day
681,2016-11-11,Veterans Day
694,2016-11-24,Thanksgiving
725,2016-12-25,Christmas Day
732,2017-01-01,New Year's Day
879,2017-05-29,Memorial Day
915,2017-07-04,Independence Day
977,2017-09-04,Labor Day
1046,2017-11-11,Veterans Day
1058,2017-11-23,Thanksgiving
1090,2017-12-25,Christmas Day
1097,2018-01-01,New Year's Day
1243,2018-05-28,Memorial Day
1280,2018-07-04,Independence Day
1341,2018-09-03,Labor Day
1411,2018-11-11,Veterans Day
1422,2018-11-22,Thanksgiving
1455,2018-12-25,Christmas Day
1462,2019-01-01,New Year's Day
1607,2019-05-27,Memorial Day
1645,2019-07-04,Independence Day
1705,2019-09-02,Labor Day
1776,2019-11-11,Veterans Day
1793,2019-11-28,Thanksgiving
1820,2019-12-25,Christmas Day
1827,2020-01-01,New Year's Day
1971,2020-05-25,Memorial Day
2011,2020-07-04,Independence Day
2076,2020-09-07,Labor Day
2142,2020-11-11,Veterans Day
2157,2020-11-26,Thanksgiving
2186,2020-12-25,Christmas Day
2193,2021-01-01,New Year's Day
2342,2021-05-31,Memorial Day
2376,2021-07-04,Independence Day
2440,2021-09-06,Labor Day
2507,2021-11-11,Veterans Day
2521,2021-11-25,Thanksgiving
2551,2021-12-25,Christmas Day
2558,2022-01-01,New Year's Day
2706,2022-05-30,Memorial Day
2741,2022-07-04,Independence Day
2804,2022-09-05,Labor Day
2872,2022-11-11,Veterans Day
2885,2022-11-24,Thanksgiving
2916,2022-12-25,Christmas Day
2923,2023-01-01,New Year's Day
3070,2023-05-29,Memorial Day
3106,2023-07-04,Independence Day
3168,2023-09-04,Labor Day
3237,2023-11-11,Veterans Day
3249,2023-11-23,Thanksgiving
3281,2023-12-25,Christmas Day
3288,2024-01-01,New Year's Day
3434,2024-05-27,Memorial Day
3472,2024-07-04,Independence Day
3532,2024-09-02,Labor Day
3603,2024-11-11,Veterans Day
3620,2024-11-28,Thanksgiving
3647,2024-12-25,Christmas Day
3654,2025-01-01,New Year's Day
3798,2025-05-26,Memorial Day
3837,2025-07-04,Independence Day
3896,2025-09-01,Labor Day
3968,2025-11-11,Veterans Day
3984,2025-11-27,Thanksgiving
4012,2025-12-25,Christmas Day
4019,2026-01-01,New Year's Day
4162,2026-05-25,Memorial Day
4202,2026-07-04,Independence Day
4267,2026-09-07,Labor Day
4333,2026-11-11,Veterans Day
4348,2026-11-26,Thanksgiving
4377,2026-12-25,Christmas Day
4384,2027-01-01,New Year's Day
4533,2027-05-31,Memorial Day
4567,2027-07-04,Independence Day
4631,2027-09-06,Labor Day
4698,2027-11-11,Veterans Day
4712,2027-11-25,Thanksgiving
4742,2027-12-25,Christmas Day
4749,2028-01-01,New Year's Day
4897,2028-05-29,Memorial Day
4933,2028-07-04,Independence Day
4995,2028-09-04,Labor Day
5064,2028-11-11,Veterans Day
5076,2028-11-23,Thanksgiving
5108,2028-12-25,Christmas Day
5115,2029-01-01,New Year's Day
5261,2029-05-28,Memorial Day
5298,2029-07-04,Independence Day
5359,2029-09-03,Labor Day
5429,2029-11-11,Veterans Day
5440,2029-11-22,Thanksgiving
5473,2029-12-25,Christmas Day
